hospital_id,Hospital_Name,Address_Original_First_Line,District,State,latitude,longitude,Telephone,Mobile_Number,specialties,facilities,emergency_services,Emergency_Num,Hospital_Category,Hospital_Care_Type,Total_Num_Beds,number_doctor,Sr_No,Location_Coordinates,Location,Discipline_Systems_of_Medicine,Subdistrict,Pincode,Ambulance_Phone_No,Bloodbank_Phone_No,Foreign_pcare,Tollfree,Helpline,Hospital_Fax,Hospital_Primary_Email_Id,Hospital_Secondary_Email_Id,Website,Specialties,Facilities,Accreditation,Hospital_Regis_Number,Registeration_Number_Scan,Nodal_Person_Info,Nodal_Person_Tele,Nodal_Person_Email_Id,Town,Subtown,Village,Establised_Year,Ayush,Miscellaneous_Facilities,Number_Doctor,Num_Mediconsultant_or_Expert,Number_Private_Wards,Num_Bed_for_Eco_Weaker_Sec,Empanelment_or_Collaboration_with,Emergency_Services,Tariff_Range,State_ID,District_ID
HOSP-101,Prayagraj Central Civil Hospital,"45 MG Road, Civil Lines",Prayagraj,Uttar Pradesh,25.4358,81.8463,+91-532-2460123,+91-532-2460123,"Emergency, Cardiology, Neurology, General Medicine, Trauma Care, Pulmonology","ICU, Emergency, Ventilators, Blood Bank, CT Scan",yes,+91-532-2460123,Government,Tertiary Care,250,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOSP-102,Swaroop Rani Nehru Hospital (SRN),"Chatham Lines, Medical College",Prayagraj,Uttar Pradesh,25.452,81.838,+91-532-2256011,+91-532-2256011,"Emergency, Trauma Care, Neurology, Cardiology, General Surgery, Nephrology","Trauma Center, Emergency, ICU, Blood Bank, Dialysis",yes,+91-532-2256011,Government,Super Specialty,350,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOSP-103,Tej Bahadur Sapru (Beli) Hospital,"Stanley Road, Beli",Prayagraj,Uttar Pradesh,25.461,81.854,+91-532-2420088,+91-532-2420088,"Emergency, General Medicine, Pediatrics, Orthopedics","Emergency, General Ward, ICU, Pharmacy",yes,+91-532-2420088,Government,Secondary Care,180,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOSP-104,Kamla Nehru Memorial Hospital (Cancer Centre),Tagore Town,Prayagraj,Uttar Pradesh,25.448,81.862,+91-532-2466661,+91-532-2466661,"Oncology, Radiology, Chemotherapy, General Surgery, Nuclear Medicine","Cancer Therapy, Chemotherapy, Radiation, ICU, Surgery",yes,+91-532-2466661,Specialized,Regional Cancer Center,160,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOSP-105,Motilal Nehru Divisional Hospital (Colvin),Katra Road,Prayagraj,Uttar Pradesh,25.455,81.859,+91-532-2460300,+91-532-2460300,"Emergency, General Medicine, Orthopedics, Cardiology","Emergency, Outpatient, Inpatient, X-Ray",yes,+91-532-2460300,Government,Divisional Hospital,140,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOSP-106,Nazareth Hospital,"13A Thornhill Road, Civil Lines",Prayagraj,Uttar Pradesh,25.449,81.839,+91-532-2407441,+91-532-2407441,"Emergency, Cardiology, Gastroenterology, General Medicine, ICU","ICU, Emergency, Cath Lab, Pathology",yes,+91-532-2407441,Private,Tertiary Care,200,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOSP-107,United Medicity Super Specialty Hospital,"Rawatpur, Near Jhalwa",Prayagraj,Uttar Pradesh,25.431,81.765,+91-532-2441122,+91-532-2441122,"Emergency, Cardiology, Neurology, Nephrology, Trauma Care","Advanced ICU, Cardiac Cath Lab, Dialysis, Ambulance",yes,+91-532-2441122,Private,Super Specialty,300,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOSP-108,Jeevan Jyoti Super Specialty Hospital,"Lowther Road, George Town",Prayagraj,Uttar Pradesh,25.439,81.853,+91-532-2466000,+91-532-2466000,"Cardiology, Emergency, Neurology, Dialysis, General Medicine","Cath Lab, Dialysis, Intensive Care, Ambulance",yes,+91-532-2466000,Private,Super Specialty,150,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOSP-109,Asha Hospital & Trauma Centre,"Triveni Nagar, Naini",Prayagraj,Uttar Pradesh,25.398,81.865,+91-532-2697800,+91-532-2697800,"Emergency, Trauma Care, Orthopedics, General Surgery","Trauma Unit, Emergency, Operation Theater",yes,+91-532-2697800,Private,Trauma Care,110,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOSP-110,Vatsalya Maternity & Surgical Hospital,"GTB Nagar, Kareli",Prayagraj,Uttar Pradesh,25.421,81.825,+91-532-2550100,+91-532-2550100,"Obstetrics & Gynecology, Pediatrics, Emergency, Neonatology","NICU, Maternity Ward, Emergency, Pediatric ICU",yes,+91-532-2550100,Private,Maternity & Pediatric,95,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
