hospital_id,hospital_name,address,district,state,latitude,longitude,contact,specialties,facilities,emergency_services,hospital_category,total_num_beds,number_doctor
HOSP-101,Prayagraj Central Civil Hospital,"45 MG Road, Civil Lines, Prayagraj, Uttar Pradesh",Prayagraj,Uttar Pradesh,25.4358,81.8463,+91-532-2460123,"Emergency, Cardiology, Neurology, General Medicine, Trauma Care, Pulmonology","ICU, Emergency, Ventilators, Blood Bank, CT Scan",yes,government,250,45
HOSP-102,Swaroop Rani Nehru Hospital (SRN),"Chatham Lines, Medical College, Prayagraj, Uttar Pradesh",Prayagraj,Uttar Pradesh,25.452,81.838,+91-532-2256011,"Emergency, Trauma Care, Neurology, Cardiology, General Surgery, Nephrology","Trauma Center, Emergency, ICU, Blood Bank, Dialysis",yes,government,350,65
HOSP-103,Tej Bahadur Sapru (Beli) Hospital,"Stanley Road, Beli, Prayagraj, Uttar Pradesh",Prayagraj,Uttar Pradesh,25.461,81.854,+91-532-2420088,"Emergency, General Medicine, Pediatrics, Orthopedics","Emergency, General Ward, ICU, Pharmacy",yes,government,180,32
HOSP-104,Kamla Nehru Memorial Hospital (Cancer Centre),"Tagore Town, Prayagraj, Uttar Pradesh",Prayagraj,Uttar Pradesh,25.448,81.862,+91-532-2466661,"Oncology, Radiology, Chemotherapy, General Surgery, Nuclear Medicine","Cancer Therapy, Chemotherapy, Radiation, ICU, Surgery",yes,specialized,160,28
HOSP-105,Motilal Nehru Divisional Hospital (Colvin),"Katra Road, Prayagraj, Uttar Pradesh",Prayagraj,Uttar Pradesh,25.455,81.859,+91-532-2460300,"Emergency, General Medicine, Orthopedics, Cardiology","Emergency, Outpatient, Inpatient, X-Ray",yes,government,140,25
HOSP-106,Nazareth Hospital,"13A Thornhill Road, Civil Lines, Prayagraj, Uttar Pradesh",Prayagraj,Uttar Pradesh,25.449,81.839,+91-532-2407441,"Emergency, Cardiology, Gastroenterology, General Medicine, ICU","ICU, Emergency, Cath Lab, Pathology",yes,private,200,38
HOSP-107,United Medicity Super Specialty Hospital,"Rawatpur, Near Jhalwa, Prayagraj, Uttar Pradesh",Prayagraj,Uttar Pradesh,25.431,81.765,+91-532-2441122,"Emergency, Cardiology, Neurology, Nephrology, Trauma Care","Advanced ICU, Cardiac Cath Lab, Dialysis, Ambulance",yes,private,300,55
HOSP-108,Jeevan Jyoti Super Specialty Hospital,"Lowther Road, George Town, Prayagraj, Uttar Pradesh",Prayagraj,Uttar Pradesh,25.439,81.853,+91-532-2466000,"Cardiology, Emergency, Neurology, Dialysis, General Medicine","Cath Lab, Dialysis, Intensive Care, Ambulance",yes,private,150,30
HOSP-109,Asha Hospital & Trauma Centre,"Triveni Nagar, Naini, Prayagraj, Uttar Pradesh",Prayagraj,Uttar Pradesh,25.398,81.865,+91-532-2697800,"Emergency, Trauma Care, Orthopedics, General Surgery","Trauma Unit, Emergency, Operation Theater",yes,private,110,22
HOSP-110,Vatsalya Maternity & Surgical Hospital,"GTB Nagar, Kareli, Prayagraj, Uttar Pradesh",Prayagraj,Uttar Pradesh,25.421,81.825,+91-532-2550100,"Obstetrics & Gynecology, Pediatrics, Emergency, Neonatology","NICU, Maternity Ward, Emergency, Pediatric ICU",yes,private,95,18
HOSP-111,Phoenix Super Specialty Hospital & Trauma Center,"Lukerganj, GT Road, Prayagraj, Uttar Pradesh",Prayagraj,Uttar Pradesh,25.447,81.815,+91-532-2601122,"Emergency, Trauma Care, Neurology, Cardiology","Emergency, ICU, Neuro Trauma, Pharmacy",yes,private,130,26
HOSP-112,Heritage Multi Specialty Hospital,"Teliyarganj, Lucknow Road, Prayagraj, Uttar Pradesh",Prayagraj,Uttar Pradesh,25.485,81.86,+91-532-2544333,"Emergency, General Medicine, Orthopedics, Cardiology","Emergency, ICU, Diagnostics, Inpatient",yes,private,100,20
HOSP-201,BHU Sir Sunderlal Hospital,"BHU Campus, Varanasi, Uttar Pradesh",Varanasi,Uttar Pradesh,25.2754,82.9995,+91-542-2307500,"Emergency, Cardiology, Neurology, Trauma Care, Oncology","Super Specialty, Trauma, Blood Bank, Organ Transplant",yes,government,450,90
HOSP-202,Heritage Hospital Lanka,"Lanka, Varanasi, Uttar Pradesh",Varanasi,Uttar Pradesh,25.286,82.988,+91-542-2368888,"Cardiology, Emergency, General Surgery","Cath Lab, Emergency, ICU",yes,private,180,36
HOSP-203,KGMU Super Specialty Hospital,"Shah Mina Road, Chowk, Lucknow, Uttar Pradesh",Lucknow,Uttar Pradesh,26.8687,80.9168,+91-522-2257450,"Emergency, Trauma Care, Neurology, Cardiology, Nephrology","Trauma Center, Emergency, ICU, Advanced Surgery",yes,government,500,110
HOSP-204,Sanjay Gandhi PGIMS (SGPGI),"Raebareli Road, Lucknow, Uttar Pradesh",Lucknow,Uttar Pradesh,26.745,80.939,+91-522-2668004,"Cardiology, Nephrology, Oncology, Gastroenterology","Super Specialty Care, Organ Transplant, Robotic Surgery",yes,government,420,95
HOSP-205,Medanta Hospital Lucknow,"Sector A, Pocket 1, Amar Shaheed Path, Lucknow, Uttar Pradesh",Lucknow,Uttar Pradesh,26.795,81.002,+91-522-4505050,"Cardiology, Emergency, Neurology, Organ Transplant","Advanced ICU, Cath Lab, Heart Institute, Emergency",yes,private,350,75
HOSP-206,GSVM Medical College & Hallet Hospital,"Swaroop Nagar, Kanpur, Uttar Pradesh",Kanpur,Uttar Pradesh,26.482,80.312,+91-512-2535555,"Emergency, Trauma Care, Orthopedics, Cardiology","Emergency, Trauma, Blood Bank, Surgery",yes,government,380,70
HOSP-207,Regency Hospital Swaroop Nagar,"Swaroop Nagar, Kanpur, Uttar Pradesh",Kanpur,Uttar Pradesh,26.478,80.324,+91-512-3081111,"Emergency, Cardiology, Neurology, Dialysis","Cath Lab, Emergency, ICU, Blood Bank",yes,private,220,40
HOSP-208,SN Medical College & Hospital,"Hospital Road, Agra, Uttar Pradesh",Agra,Uttar Pradesh,27.185,78.012,+91-562-2260353,"Emergency, Cardiology, General Medicine, Trauma Care","Emergency, Trauma, Blood Bank, Surgery",yes,government,280,52
HOSP-209,BRD Medical College Hospital,"Medical College Road, Gorakhpur, Uttar Pradesh",Gorakhpur,Uttar Pradesh,26.782,83.385,+91-551-2310101,"Emergency, Pediatrics, Infectious Diseases, Trauma Care","Emergency, PICU, ICU, Pathology",yes,government,320,55
HOSP-210,Felix Super Specialty Hospital,"Sector 137, Noida, Uttar Pradesh",Noida,Uttar Pradesh,28.5055,77.401,+91-120-3988888,"Emergency, Cardiology, Neurology, Orthopedics","Advanced ICU, Cath Lab, Emergency, MRI",yes,private,200,38
HOSP-211,Yashoda Super Specialty Hospital,"Kaushambi, Ghaziabad, Uttar Pradesh",Ghaziabad,Uttar Pradesh,28.642,77.322,+91-120-4181818,"Cardiology, Emergency, Oncology, Gastroenterology","Cath Lab, Emergency, ICU, Dialysis",yes,private,250,48
HOSP-212,Maharani Laxmi Bai Medical College,"Kanpur Road, Jhansi, Uttar Pradesh",Jhansi,Uttar Pradesh,25.449,78.582,+91-510-2321815,"Emergency, Trauma Care, Orthopedics, General Medicine","Emergency, Trauma, ICU, Blood Bank",yes,government,260,45
HOSP-301,Delhi Hospital,"Khandakpar,Asthama Rd.Biharsarif, Nalanda, Bihar",Nalanda,Bihar,28.600057,77.190078,+91-8746317213,"Cardiology, Cardiothoracic Surgery, Emergency, Vascular Surgery, ICU","NICU, PICU, Maternity Ward, Emergency, Pediatric ICU",yes,private,226,40
HOSP-302,Palanpur Female Hospital,"Delhi Gate, Palanpur, Banas kantha, Gujarat",Banas kantha,Gujarat,28.634504,77.34712,+91-6478163327,"Oncology, Radiology, Chemotherapy, General Surgery, Nuclear Medicine","Emergency, Trauma Unit, Operation Theater, 24x7 Ambulance",yes,private,239,43
HOSP-303,Postgraduate Institute of Medical Education and Research,"Postgraduate Institute of Medical Education andResearch, Sector-12, Chandigarh, Chandigarh",Chandigarh,Chandigarh,30.757103,76.757122,+91-6107420369,"Emergency, Gastroenterology, Hepatology, General Surgery, Internal Medicine","ICU, Emergency, Ventilators, Blood Bank, CT Scan, Pathology",yes,private,252,45
HOSP-304,Government Medical College and Hospital,"Sector-32, Chandigarh, Chandigarh",Chandigarh,Chandigarh,30.689203,76.753847,+91-9184935163,"Emergency, Nephrology, Urology, Dialysis, Transplant Surgery","Trauma Center, Emergency, ICU, Blood Bank, Dialysis, MRI",no,government,265,47
